numerai_ticker,iex_ticker
SVW AU,SVW-AT
GEM AU,GEM-AT
AZJ AU,AZJ-AT
NXT AU,NXT-AT
TWE AU,TWE-AT
SGR AU,SGR-AT
CKF AU,CKF-AT
BGA AU,BGA-AT
QUB AU,QUB-AT
MMS AU,MMS-AT
AX1 AU,AX1-AT
SUL AU,SUL-AT
NCM AU,NCM-AT
KAR AU,KAR-AT
NCK AU,NCK-AT
PRU AU,PRU-AT
REA AU,REA-AT
CIM AU,CIM-AT
LLC AU,LLC-AT
JIN AU,JIN-AT
JBH AU,JBH-AT
AMP AU,AMP-AT
QAN AU,QAN-AT
ILU AU,ILU-AT
WOW AU,WOW-AT
SSM AU,SSM-AT
LYC AU,LYC-AT
ASX AU,ASX-AT
PNV AU,PNV-AT
ORG AU,ORG-AT
CBA AU,CBA-AT
BLD AU,BLD-AT
ORI AU,ORI-AT
DOW AU,DOW-AT
ARB AU,ARB-AT
API AU,API-AT
NUF AU,NUF-AT
HLS AU,HLS-AT
CPU AU,CPU-AT
CSL AU,CSL-AT
SUN AU,SUN-AT
RMS AU,RMS-AT
MND AU,MND-AT
SFR AU,SFR-AT
WES AU,WES-AT
AWC AU,AWC-AT
FMG AU,FMG-AT
TLS AU,TLS-AT
BPT AU,BPT-AT
RHC AU,RHC-AT
IAG AU,IAG-AT
SBM AU,SBM-AT
CUV AU,CUV-AT
PME AU,PME-AT
EOS AU,EOS-AT
APE AU,APE-AT
IRE AU,IRE-AT
TNE AU,TNE-AT
WOR AU,WOR-AT
IPL AU,IPL-AT
PPT AU,PPT-AT
CTD AU,CTD-AT
SHL AU,SHL-AT
WEB AU,WEB-AT
BOQ AU,BOQ-AT
HSN AU,HSN-AT
APA AU,APA-AT
CCP AU,CCP-AT
BKW AU,BKW-AT
FLT AU,FLT-AT
ELD AU,ELD-AT
GUD AU,GUD-AT
BEN AU,BEN-AT
BKL AU,BKL-AT
GNC AU,GNC-AT
GWA AU,GWA-AT
OZL AU,OZL-AT
BRG AU,BRG-AT
